NCM;EX;DESCRIÄ«O;AL÷QUOTA;
0303.41.00;;-- Albacora-branca (atum) (Thunnus alalunga) ;0;
0303.42.00;;-- Albacora-laje (atum) (Thunnus albacares) ;0;
0303.43.00;;-- Bonito-listrado (Gaiado*) (Katsuwonus pelamis) ;0;
0303.44.00;;-- Albacora-bandolim (atum) (Thunnus obesus) ;0;
0303.45.00;;-- Atuns-azuis (atuns) (Thunnus thynnus, Thunnus orientalis) ;0;
0303.46.00;;-- Atum-azul do sul (atum) (Thunnus maccoyii) ;0;
0303.49.00;;-- Outros ;0;
0303.5;;"- Arenques (Clupea harengus, Clupea pallasii), anchovas (biqueir‰es*) (Engraulis spp.), sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.) (sardinha (Sardina pilchardus) e sardinelas (Sardinops spp., Sardinella spp.)*), anchoveta (espadilha*) (Sprattus sprattus), cavalinhas (sardas e cavalas*) (Scomber scombrus, Scomber australasicus, Scomber japonicus), cavalas-do-°ndico (Rastrelliger spp.), serras (Scomberomorus spp.), carapaus (Trachurus spp.), xarÇus (Caranx spp.), bijupir† (cobia*) (Rachycentron canadum), pampos-prateado (Pampus spp.), agulh∆o-do-jap∆o (Cololabis saira), charros (Decapterus spp.), capelim (Mallotus villosus), espadarte (Xiphias gladius), merma-oriental (Euthynnus affinis), bonitos (Sarda spp.), espadins, marlins, veleiros (Istiophoridae), exceto subprodutos comest°veis de
peixes das subposiá‰es 0303.91 a 0303.99:";;
0303.51.00;;-- Arenques (Clupea harengus, Clupea pallasii) ;0;
0303.53.00;;-- Sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.) (Sardinha (Sardina pilchardus) e sardinelas (Sardinops spp., Sardinella spp.)*), anchoveta (espadilha*) (Sprattus sprattus) ;0;
0303.54.00;;-- Cavalinhas (Sardas e cavalas*) (Scomber scombrus, Scomber australasicus, Scomber japonicus) ;0;
0303.55.00;;-- Carapaus (Trachurus spp.) ;0;
0303.56.00;;-- Bijupir† (Cobia*) (Rachycentron canadum) ;0;
0303.57.00;;-- Espadarte (Xiphias gladius) ;0;
0303.59;;-- Outros;;
0303.59.10;;Espadins, marlins, veleiros (Istiophoridae) ;0;
0303.59.20;;Anchoita (Engraulis anchoita) ;0;
0303.59.90;;Outros ;0;
0303.6;;"- Peixes das fam°lias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae,
Merlucciidae, Moridae e Muraenolepididae, exceto subprodutos comest°veis de peixes das subposiá‰es
0303.91 a 0303.99:";;
0303.63.00;;-- Bacalhau-do-atlÉntico (Gadus morhua), bacalhau-da-groelÉndia (Gadus ogac) e bacalhau-do-pac°fico (Gadus macrocephalus) ;0;
