NCM;EX;DESCRIÄ«O;AL÷QUOTA;
6404.1;;- Caláado com sola exterior de borracha ou de pl†stico:;;
6404.11.00;;"-- Caláado para esporte; caláado para tànis, basquetebol, gin†stica, treino e semelhantes ";0;
6404.19.00;;-- Outro ;0;
6404.20.00;;- Caláado com sola exterior de couro natural ou reconstitu°do ;0;
64.05;;Outro caláado.;;
6405.1;;- Com parte superior de couro natural ou reconstitu°do;;
6405.10.10;;Com sola exterior de borracha ou pl†stico e parte superior de couro reconstitu°do ;0;
6405.10.20;;Com sola exterior de couro natural ou reconstitu°do e parte superior de couro reconstitu°do ;0;
6405.10.90;;Outro ;0;
6405.20.00;;- Com parte superior de matÇrias tàxteis ;0;
6405.90.00;;- Outro ;0;
64.06;;"Partes de caláado (incluindo as partes superiores, mesmo fixadas a solas que n∆o sejam as solas exteriores); palmilhas, reforáos interiores e artigos semelhantes, amov°veis; polainas, perneiras e artigos semelhantes, e suas partes.";;
6406.10.00;;- Partes superiores de caláado e seus componentes, exceto contrafortes e biqueiras r°gidas ;0;
6406.20.00;;- Solas exteriores e saltos, de borracha ou pl†stico ;0;
6406.9;;- Outros;;
6406.90.10;;Solas exteriores e saltos, de couro natural ou reconstitu°do ;0;
6406.90.20;;Palmilhas ;0;
6406.90.90;;Outros ;0;
6501.00.00;;Esboáos n∆o enformados nem na copa nem na aba, discos e cilindros, mesmo cortados no sentido da altura, de feltro, para chapÇus. ;0;
6502;;Esboáos de chapÇus, entranáados ou obtidos por reuni∆o de tiras de qualquer matÇria, sem copa nem aba enformadas e sem guarniá‰es.;;
6502.00.10;;De palha fina (manila, panam† e semelhantes) ;0;
6502.00.90;;Outros ;0;
6504;;ChapÇus e outros artigos de uso semelhante, entranáados ou obtidos por reuni∆o de tiras, de qualquer matÇria, mesmo guarnecidos.;;
6504.00.10;;De palha fina (manila, panam† e semelhantes) ;0;
6504.00.90;;Outros ;0;
6505;;"ChapÇus e outros artigos de uso semelhante, de malha ou confeccionados com rendas, feltro ou outros produtos tàxteis, em peáa (mas n∆o em tiras), mesmo guarnecidos; coifas e redes, para o cabelo, de qualquer matÇria, mesmo guarnecidas.";;
6505.00.1;;BonÇs;;
6505.00.11;;De algod∆o ;0;
6505.00.12;;De fibras sintÇticas ou artificiais ;0;
6505.00.19;;De outras matÇrias tàxteis ;0;
6505.00.2;;Gorros;;
6505.00.21;;De algod∆o ;0;
6505.00.22;;De fibras sintÇticas ou artificiais ;0;
6505.00.29;;De outras matÇrias tàxteis ;0;
6505.00.3;;ChapÇus;;
6505.00.31;;De algod∆o ;0;
6505.00.32;;De fibras sintÇticas ou artificiais ;0;
6505.00.39;;De outras matÇrias tàxteis ;0;
6505.00.90;;Outros ;0;
65.06;;Outros chapÇus e artigos de uso semelhante, mesmo guarnecidos.;;
6506.10.00;;- Capacetes e artigos de uso semelhante, de proteá∆o ;0;
6506.9;;- Outros:;;
6506.91.00;;-- De borracha ou de pl†stico ;0;
6506.99.00;;-- De outras matÇrias ;0;
6507.00.00;;Carneiras, forros, capas, armaá‰es, palas e barbicachos (francaletes*), para chapÇus e artigos de uso semelhante. ;0;
66.01;;Guarda-chuvas, sombrinhas e guarda-s¢is (incluindo as bengalas-guarda-chuvas e os guarda-s¢is de jardim e semelhantes).;;
6601.10.00;;- Guarda-s¢is de jardim e artigos semelhantes ;3,25;
6601.9;;- Outros:;;
6601.91;;-- De haste ou cabo telesc¢pico;;
6601.91.10;;Cobertos de tecido de seda ou de matÇrias tàxteis sintÇticas ou artificiais ;0;
6601.91.90;;Outros ;0;
6601.99.00;;-- Outros ;0;
6602.00.00;;Bengalas, bengalas-assentos, chicotes, pingalins e artigos semelhantes. ;0;
66.03;;Partes, guarniá‰es e acess¢rios, para os artigos das posiá‰es 66.01 ou 66.02.;;
6603.20.00;;- Armaá‰es montadas, mesmo com hastes ou cabos, para guarda-chuvas, sombrinhas ou guarda-s¢is;0;
6603.90.00;;- Outros ;0;
6701.00.00;;Peles e outras partes de aves, com as suas penas ou penugem, penas, partes de penas, penugem e artigos destas matÇrias, exceto os produtos da posiá∆o 05.05, bem como os c†lamos e outros canos de ;0;
6701.00.00;01;"Pena solta; pele com pena, inteira, em parte, emendada ou n∆o";NT;
6701.00.00;02;Artefatos de peles de aves providas de suas penas, de penas, de partes de penas e de penugem, exceto leques e ventarolas;13;
6701.00.00;03;Leques e ventarolas;13;
67.02;;"Flores, folhagem e frutos, artificiais, e suas partes; artigos confeccionados com flores, folhagem e frutos, artificiais.";;
6702.10.00;;- De pl†stico ;9,75;
6702.90.00;;- De outras matÇrias ;9,75;
6703.00.00;;"Cabelo disposto no mesmo sentido, adelgaáado, branqueado ou preparado de outro modo; l∆, pelos e outras matÇrias tàxteis, preparados para fabricaá∆o de perucas ou de artigos semelhantes. ";9,75;
67.04;;"Perucas, barbas, sobrancelhas, pestanas, madeixas e artigos semelhantes, de cabelo, pelos ou de matÇrias tàxteis; outras obras de cabelo n∆o especificadas nem compreendidas noutras posiá‰es.";;
6704.1;;- De matÇrias tàxteis sintÇticas:;;
6704.11.00;;-- Perucas completas ;9,75;
6704.19.00;;-- Outros ;9,75;
6704.20.00;;- De cabelo ;9,75;
6704.90.00;;- De outras matÇrias ;9,75;
6801.00.00;;Pedras para calcetar, meios-fios (lancis) e placas (lajes) para pavimentaá∆o, de pedra natural (exceto a ard¢sia). ;0;
68.02;;"Pedras de cantaria ou de construá∆o (exceto de ard¢sia) trabalhadas e obras destas pedras, exceto as da posiá∆o 68.01; cubos, pastilhas e artigos semelhantes, para mosaicos, de pedra natural (incluindo a ard¢sia), mesmo com suporte; grÉnulos, fragmentos e p¢s, de pedra natural (incluindo a ard¢sia), corados artificialmente.";;
6802.10.00;;"- Ladrilhos, cubos, pastilhas e artigos semelhantes, mesmo de forma diferente da quadrada ou retangular, cuja maior superf°cie possa ser inscrita num quadrado de lado inferior a 7 cm; grÉnulos, fragmentos e p¢s, corados artificialmente ";3,25;
6802.10.00;01;Ladrilhos e placas (lajes) para pavimentaá∆o ou revestimento;0,65;
6802.2;;- Outras pedras de cantaria ou de construá∆o e suas obras, simplesmente talhadas ou serradas, de superf°cie plana ou lisa:;;
6802.21.00;;-- M†rmore, travertino e alabastro ;3,25;
6802.21.00;01;Ladrilhos e placas (lajes) para pavimentaá∆o ou revestimento;0,65;
6802.23.00;;-- Granito ;3,25;
6802.23.00;01;Ladrilhos e placas (lajes) para pavimentaá∆o ou revestimento;0,65;
6802.29.00;;-- Outras pedras ;3,25;
6802.29.00;01;Ladrilhos e placas (lajes) para pavimentaá∆o ou revestimento;0,65;
6802.9;;- Outras:;;
6802.91.00;;-- M†rmore, travertino e alabastro ;3,25;
6802.91.00;01;Ladrilhos e placas (lajes) para pavimentaá∆o ou revestimento;0,65;
6802.92.00;;-- Outras pedras calc†rias ;3,25;
6802.92.00;01;Ladrilhos e placas (lajes) para pavimentaá∆o ou revestimento;0,65;
6802.93;;-- Granito;;
6802.93.10;;Esferas para moinho ;3,25;
6802.93.90;;Outros ;3,25;
6802.93.90;01;Ladrilhos e placas (lajes) para pavimentaá∆o ou revestimento;0,65;
6802.99;;-- Outras pedras;;
6802.99.10;;Esferas para moinho ;3,25;
6802.99.90;;Outras ;3,25;
6802.99.90;01;Ladrilhos e placas (lajes) para pavimentaá∆o ou revestimento;0,65;
6803.00.00;;Ard¢sia natural trabalhada e obras de ard¢sia natural ou aglomerada. ;3,25;
6803.00.00;01;Ladrilhos e placas (lajes) para pavimentaá∆o ou revestimento;0,65;
68.04;;"M¢s e artigos semelhantes, sem armaá∆o, para moer, desfibrar, triturar, amolar, polir, retificar ou cortar; pedras para amolar ou para polir, manualmente, e suas partes, de pedras naturais, de abrasivos naturais ou artificiais aglomerados ou de cerÉmica, mesmo com partes de outras matÇrias.";;
6804.10.00;;- M¢s para moer ou desfibrar ;0;
6804.2;;- Outras m¢s e artigos semelhantes:;;
6804.21;;-- De diamante natural ou sintÇtico, aglomerado;;
6804.21.1;;De diÉmetro inferior a 53,34 cm;;
6804.21.11;;Aglomerados com resina ;0;
6804.21.19;;Outros ;0;
6804.21.90;;Outros ;0;
6804.22;;-- De outros abrasivos aglomerados ou de cerÉmica;;
6804.22.1;;De diÉmetro inferior a 53,34 cm;;
6804.22.11;;Aglomerados com resina ;0;
6804.22.19;;Outros ;0;
6804.22.90;;Outros ;0;
6804.23.00;;-- De pedras naturais ;0;
6804.30.00;;- Pedras para amolar ou para polir, manualmente ;0;
68.05;;Abrasivos naturais ou artificiais, em p¢ ou em gr∆os, aplicados sobre matÇrias tàxteis, papel, cart∆o ou outras matÇrias, mesmo recortados, costurados ou reunidos de outro modo.;;
6805.10.00;;- Aplicados apenas sobre tecidos de matÇrias tàxteis ;0;
6805.20.00;;- Aplicados apenas sobre papel ou cart∆o ;0;
6805.3;;- Aplicados sobre outras matÇrias;;
6805.30.10;;Com suporte de papel ou cart∆o combinados com matÇrias tàxteis ;0;
6805.30.20;;Discos de fibra vulcanizada recobertos com ¢xido de alum°nio ou carboneto de sil°cio ;0;
6805.30.90;;Outros ;0;
68.06;;"L∆s de esc¢rias de altos-fornos, l∆s de outras esc¢rias, l∆ de rocha e l∆s minerais semelhantes; vermiculita e argilas, expandidas, espuma de esc¢rias e produtos minerais semelhantes, expandidos; misturas e obras de matÇrias minerais para isolamento do calor e do som ou para absorá∆o do som, exceto as das posiá‰es 68.11, 68.12 ou do Cap°tulo 69.";;
6806.10.00;;- L∆s de esc¢rias de altos-fornos, l∆s de outras esc¢rias, l∆ de rocha e l∆s minerais semelhantes, mesmo misturadas entre si, a granel, em folhas ou em rolos ;0;
6806.10.00;01;L∆ de rocha e l∆ mineral;6,5;
6806.20.00;;- Vermiculita e argilas, expandidas, espuma de esc¢rias e produtos minerais semelhantes, expandidos, mesmo misturados entre si ;0;
6806.9;;- Outros;;
6806.90.10;;Aluminosos ou silicoaluminosos ;0;
6806.90.90;;Outros ;0;
6806.90.90;01;Obras de l∆ de rocha e de l∆ mineral;6,5;
68.07;;Obras de asfalto ou de produtos semelhantes (por exemplo, breu ou pez).;;
6807.10.00;;- Em rolos ;3,25;
6807.90.00;;- Outras ;3,25;
6807.90.00;01;Telhas onduladas;0;
6808.00.00;;PainÇis, chapas, ladrilhos, blocos e semelhantes, de fibras vegetais, palha ou aparas, part°culas, serragem (serradura) ou outros desperd°cios de madeira, aglomerados com cimento, gesso ou outros aglutinantes minerais. ;6,5;
68.09;;Obras de gesso ou de composiá‰es Ö base de gesso.;;
6809.1;;- Chapas, placas, painÇis, ladrilhos e semelhantes, n∆o ornamentados:;;
6809.11.00;;-- Revestidos ou reforáados exclusivamente com papel ou cart∆o ;0;
6809.19.00;;-- Outros ;3,25;
6809.90.00;;- Outras obras ;3,25;
68.1;;Obras de cimento, de concreto (bet∆o) ou de pedra artificial, mesmo armadas.;;
6810.1;;- Telhas, ladrilhos, placas (lajes), tijolos e artigos semelhantes:;;
6810.11.00;;-- Blocos e tijolos para a construá∆o ;0;
6810.19.00;;-- Outros ;0;
6810.9;;- Outras obras:;;
6810.91.00;;-- Elementos prÇ-fabricados para a construá∆o ou engenharia civil ;0;
6810.99.00;;-- Outras ;0;
68.11;;Obras de fibrocimento, cimento-celulose ou produtos semelhantes.;;
6811.40.00;;- Que contenham amianto ;3,25;
6811.8;;- Que n∆o contenham amianto:;;
6811.81.00;;-- Placas onduladas ;3,25;
6811.82.00;;-- Outras placas, painÇis, ladrilhos, telhas e artigos semelhantes ;3,25;
6811.89.00;;-- Outras obras ;3,25;
68.12;;"Amianto trabalhado, em fibras; misturas Ö base de amianto ou Ö base de amianto e carbonato de magnÇsio; obras destas misturas ou de amianto (por exemplo, fios, tecidos, vestu†rio, chapÇus e artigos de uso semelhante, caláado, juntas), mesmo armadas, exceto as das posiá‰es 68.11 ou 68.13.";;
6812.80.00;;- De crocidolita ;6,5;
6812.9;;- Outros:;;
6812.91.00;;-- Vestu†rio, acess¢rios de vestu†rio, caláado e chapÇus ;0;
6812.99;;-- Outros;;
6812.99.10;;Juntas e outros elementos com funá∆o semelhante de vedaá∆o ;6,5;
6812.99.20;;Amianto trabalhado, em fibras ;6,5;
6812.99.30;;Misturas Ö base de amianto ou Ö base de amianto e carbonato de magnÇsio ;6,5;
6812.99.90;;Outras ;6,5;
68.13;;Guarniá‰es de fricá∆o (por exemplo, placas, rolos, tiras, segmentos, discos, anÇis, pastilhas), n∆o montadas, para freios (trav‰es), embreagens ou qualquer outro mecanismo de fricá∆o, Ö base de amianto, de outras substÉncias minerais ou de celulose, mesmo combinadas com tàxteis ou outras matÇrias.;;
6813.20.00;;- Que contenham amianto ;6,5;
6813.20.00;01;Guarniá‰es para freios e disco de fricá∆o para embreagens;9,75;
6813.8;;- Que n∆o contenham amianto:;;
6813.81;;-- Guarniá‰es para freios (trav‰es);;
6813.81.10;;Pastilhas ;9,75;
6813.81.90;;Outras ;9,75;
6813.89;;-- Outras;;
6813.89.10;;Disco de fricá∆o para embreagens ;9,75;
6813.89.90;;Outras ;6,5;
68.14;;Mica trabalhada e obras de mica, incluindo a mica aglomerada ou reconstitu°da, mesmo com suporte de papel, de cart∆o ou de outras matÇrias.;;
6814.10.00;;- Placas, folhas ou tiras, de mica aglomerada ou reconstitu°da, mesmo com suporte ;0;
6814.90.00;;- Outras ;0;
68.15;;Obras de pedra ou de outras matÇrias minerais (incluindo as fibras de carbono, as obras destas matÇrias e as de turfa), n∆o especificadas nem compreendidas noutras posiá‰es.;;
6815.1;;"- Fibras de carbono; obras de fibras de carbono para usos n∆o elÇtricos; outras obras de grafita ou de outros carbonos, para usos n∆o elÇtricos:";;
6815.11.00;;-- Fibras de carbono ;6,5;
6815.12.00;;-- Tàxteis de fibras de carbono;6,5;
6815.13.00;;-- Outras obras de fibras de carbono ;6,5;
6815.19.00;;-- Outras ;6,5;
6815.20.00;;- Obras de turfa ;6,5;
6815.9;;- Outras obras:;;
6815.91;;-- Que contenham magnesita, magnÇsia sob a forma de pericl†sio, dolomita incluindo sob a forma de cal dolom°tica, ou cromita;;
6815.91.10;;Crus, aglomerados com aglutinante qu°mico ;6,5;
6815.91.90;;Outras ;6,5;
6815.99;;-- Outras;;
6815.99.1;;Eletrofundidas;;
6815.99.11;;Com um teor de alumina (Al2O3), igual ou superior a 90 %, em peso ;6,5;
6815.99.12;;Com um teor de silica (SiO2) igual ou superior a 90 %, em peso ;6,5;
6815.99.13;;Com um teor, em peso, de ¢xido de zircìnio (ZrO2) igual ou superior a 50 % mesmo com um conte£do de alumina inferior a 45 % ;6,5;
6815.99.14;;Constitu°das por uma mistura ou combinaá∆o de alumina (Al2O3), silica (SiO2) e ¢xido de zircìnio (ZrO2), com um teor, em peso, de alumina igual ou superior a 45 %, mas inferior a 90 % ou com um conte£do, em peso, de ¢xido de zircìnio (ZrO2) igual ou superior a 20 %, mas inferior a 50 %;6,5;
6815.99.19;;Outras ;6,5;
6815.99.90;;Outras ;6,5;
6901.00.00;;Tijolos, placas (lajes), ladrilhos e outras peáas cerÉmicas de farinhas siliciosas f¢sseis (por exemplo, kieselguhr, tripolita, diatomita) ou de terras siliciosas semelhantes. ;5,2;
69.02;;Tijolos, placas (lajes), ladrilhos e peáas cerÉmicas semelhantes, para construá∆o, refrat†rios, que n∆o sejam de farinhas siliciosas f¢sseis nem de terras siliciosas semelhantes.;;
6902.1;;- Que contenham, em peso, mais de 50 % dos elementos Mg, Ca ou Cr, tomados isoladamente ou em conjunto, expressos em MgO, CaO ou Cr2O3;;
6902.10.1;;Magnesianos ou Ö base de ¢xido de cromo;;
6902.10.11;;Tijolos ou placas, que contenham, em peso, mais de 90 % de tri¢xido de dicromo ;5,2;
6902.10.18;;Outros tijolos ;5,2;
6902.10.19;;Outros ;5,2;
6902.10.90;;Outros ;5,2;
6902.2;;- Que contenham, em peso, mais de 50 % de alumina (Al2O3), de s°lica (SiO2) ou de uma mistura ou combinaá∆o destes produtos;;
6902.20.10;;Tijolos s°lico-aluminosos ;5,2;
6902.20.9;;Outros;;
6902.20.91;;S°lico-aluminosos ;5,2;
6902.20.92;;Silicoso, semi-silicoso ou de s°lica ;5,2;
6902.20.93;;De silimanita ;5,2;
6902.20.99;;Outros ;5,2;
6902.9;;- Outros;;
6902.90.10;;De grafita ;5,2;
6902.90.20;;N∆o fundidos, com um teor de ¢xido de zircìnio (ZrO2) superior a 25 %, em peso ;5,2;
6902.90.30;;Com um teor de carbono superior a 85 %, em peso, e diÉmetro mÇdio de poro inferior ou igual a 5 micrìmetros (m°crons), do tipo utilizado em altos-fornos ;5,2;
6902.90.40;;De carboneto de sil°cio ;5,2;
6902.90.90;;Outros ;5,2;
69.03;;"Outros produtos cerÉmicos refrat†rios (por exemplo, retortas, cadinhos, muflas, bocais, tamp‰es, suportes, copelas, tubos, mangas, varetas, ""portas"" deslizantes (slide gates)) que n∆o sejam de farinhas siliciosas f¢sseis nem de terras siliciosas semelhantes.";;
6903.1;;- Que contenham, em peso, mais de 50 % de carbono livre;;
6903.10.1;;Cadinhos;;
6903.10.11;;De grafita, exceto os do subitem 6903.10.12 ;5,2;
6903.10.12;;Elaborados com uma mistura de grafita e carboneto de sil°cio ;5,2;
6903.10.19;;Outros ;5,2;
6903.10.20;;Retortas elaboradas com uma mistura de grafita e carboneto de sil°cio ;5,2;
6903.10.30;;Tampas e tamp‰es ;5,2;
6903.10.40;;Tubos ;5,2;
6903.10.90;;Outros ;5,2;
6903.2;;- Que contenham, em peso, mais de 50 % de alumina (Al2O3) ou de uma mistura ou combinaá∆o de alumina e s°lica (SiO2);;
6903.20.10;;Cadinhos ;5,2;
6903.20.20;;Tampas e tamp‰es ;5,2;
6903.20.30;;Tubos ;5,2;
6903.20.90;;Outros ;5,2;
6903.9;;- Outros;;
6903.90.1;;Tubos;;
6903.90.11;;De carboneto de sil°cio ;5,2;
6903.90.12;;De compostos de zircìnio ;5,2;
6903.90.19;;Outros ;5,2;
6903.90.9;;Outros;;
6903.90.91;;De carboneto de sil°cio ;5,2;
6903.90.92;;De compostos de zircìnio ;5,2;
6903.90.99;;Outros ;5,2;
69.04;;Tijolos para construá∆o, tijoleiras, tapa-vigas e produtos semelhantes, de cerÉmica.;;
6904.10.00;;- Tijolos para construá∆o ;0;
6904.90.00;;- Outros ;0;
69.05;;Telhas, elementos de chaminÇs, condutores de fumaáa (fumo), ornamentos arquitetìnicos, de cerÉmica, e outros produtos cerÉmicos para construá∆o.;;
6905.10.00;;- Telhas ;0;
6905.90.00;;- Outros ;0;
6906.00.00;;Tubos, calhas ou algerozes e acess¢rios para canalizaá‰es, de cerÉmica. ;0;
69.07;;"Ladrilhos e placas (lajes), para pavimentaá∆o ou revestimento, de cerÉmica; cubos, pastilhas e artigos semelhantes, para mosaicos, de cerÉmica, mesmo com suporte; peáas de acabamento, de cerÉmica.";;
6907.2;;"- Ladrilhos e placas (lajes), para pavimentaá∆o ou revestimento, exceto os das subposiá‰es 6907.30 e
6907.40:";;
6907.21.00;;-- Com um coeficiente de absorá∆o de †gua, em peso, n∆o superior a 0,5 % ;0,65;
6907.22.00;;-- Com um coeficiente de absorá∆o de †gua, em peso, superior a 0,5 %, mas n∆o superior a 10 % ;0,65;
6907.23.00;;-- Com um coeficiente de absorá∆o de †gua, em peso, superior a 10 % ;0,65;
6907.30.00;;- Cubos, pastilhas e artigos semelhantes, para mosaicos, exceto os da subposiá∆o 6907.40 ;0,65;
6907.40.00;;- Peáas de acabamento ;0,65;
69.09;;"Aparelhos e artigos para usos qu°micos ou para outros usos tÇcnicos, de cerÉmica; alguidares, gamelas e outros recipientes semelhantes para usos rurais, de cerÉmica; bilhas e outras vasilhas pr¢prias para transporte ou embalagem, de cerÉmica.";;
6909.1;;- Aparelhos e artigos para usos qu°micos ou para outros usos tÇcnicos:;;
6909.11.00;;-- De porcelana ;6,5;
6909.12;;-- Artigos com uma dureza equivalente a 9 ou mais na escala de Mohs;;
6909.12.10;;Guia-fios para m†quina tàxtil ;6,5;
6909.12.20;;Guias de agulhas para cabeáas de impress∆o ;6,5;
6909.12.30;;AnÇis de carboneto de sil°cio para juntas de vedaá∆o mecÉnicas ;6,5;
6909.12.90;;Outros ;6,5;
6909.19;;-- Outros;;
6909.19.10;;Guia-fios para m†quina tàxtil ;6,5;
6909.19.20;;Guias de agulhas para cabeáas de impress∆o ;6,5;
6909.19.30;;Colmeia de cerÉmica Ö base de alumina (Al2O3), s°lica (SiO2) e ¢xido de magnÇsio (MgO), de depuradores por convers∆o catal°tica de gases de escape de ve°culos ;6,5;
6909.19.90;;Outros ;6,5;
6909.90.00;;- Outros ;6,5;
69.1;;Pias, lavat¢rios, colunas para lavat¢rios, banheiras, bidÇs, sanit†rios, caixas de descarga (autoclismos*), mict¢rios e aparelhos fixos semelhantes para usos sanit†rios, de cerÉmica.;;
6910.10.00;;- De porcelana ;0;
6910.90.00;;- Outros ;0;
69.11;;Serviáos de mesa, artigos de cozinha, outros artigos de uso domÇstico e artigos de higiene ou de toucador, de porcelana.;;
6911.1;;- Artigos para serviáo de mesa ou de cozinha;;
6911.10.10;;Conjunto (jogo ou aparelho) para jantar, cafÇ ou ch†, apresentado em embalagem comum ;9,75;
6911.10.90;;Outros ;9,75;
6911.90.00;;- Outros ;9,75;
6912.00.00;;Serviáos de mesa, artigos de cozinha, outros artigos de uso domÇstico e artigos de higiene ou de toucador, de cerÉmica, exceto de porcelana. ;6,5;
69.13;;Estatuetas e outros objetos de ornamentaá∆o, de cerÉmica.;;
6913.10.00;;- De porcelana ;13;
6913.90.00;;- Outros ;13;
69.14;;Outras obras de cerÉmica.;;
6914.10.00;;- De porcelana ;6,5;
6914.90.00;;- Outras ;6,5;
7001.00.00;;"Cacos, fragmentos e outros desperd°cios e res°duos de vidro, exceto o vidro de tubos cat¢dicos e outros vidros ativados da posiá∆o 85.49; vidro em blocos ou massas. ";6,5;
7001.00.00;01;Cacos, fragmentos e outros desperd°cios e res°duos, exceto os de vidro ¢ptico;NT;
7001.00.00;02;De vidro ¢ptico, inclusive cacos, fragmentos e outros desperd°cios e res°duos;0;
70.02;;Vidro em esferas (exceto as microsferas da posiá∆o 70.18), barras, varetas ou tubos, n∆o trabalhado.;;
7002.10.00;;- Esferas ;6,5;
7002.10.00;01;De vidro ¢ptico;0;
7002.20.00;;- Barras ou varetas ;6,5;
7002.20.00;01;De vidro ¢ptico;0;
7002.3;;- Tubos:;;
7002.31.00;;-- De quartzo ou de outras s°licas fundidos ;6,5;
7002.31.00;01;De vidro ¢ptico;0;
7002.32.00;;"-- De outro vidro com um coeficiente de dilataá∆o linear n∆o superior a 5 x 10-6 por Kelvin, entre 0 ¯C e
300 ¯C ";6,5;
7002.32.00;01;De vidro ¢ptico;0;
7002.39.00;;-- Outros ;6,5;
7002.39.00;01;De vidro ¢ptico;0;
70.03;;Vidro vazado ou laminado, em chapas, folhas ou perfis, mesmo com camada absorvente, refletora ou n∆o, mas n∆o trabalhado de outro modo.;;
7003.1;;- Chapas e folhas, n∆o armadas:;;
7003.12.00;;-- Coradas na massa, opacificadas, folheadas (chapeadas), ou com camada absorvente, refletora ou n∆o ;6,5;
7003.12.00;01;De vidro ¢ptico;0;
7003.19.00;;-- Outras ;6,5;
7003.19.00;01;De vidro ¢ptico;0;
7003.20.00;;- Chapas e folhas, armadas ;6,5;
7003.30.00;;- Perfis ;6,5;
70.04;;Vidro estirado ou soprado, em folhas, mesmo com camada absorvente, refletora ou n∆o, mas n∆o trabalhado de outro modo.;;
7004.20.00;;- Vidro corado na massa, opacificado, folheado (chapeado), ou com camada absorvente, refletora ou n∆o ;6,5;
7004.20.00;01;De vidro ¢ptico;0;
7004.90.00;;- Outro vidro ;6,5;
7004.90.00;01;De vidro ¢ptico;0;
70.05;;Vidro flotado e vidro desbastado ou polido numa ou em ambas as faces, em chapas ou em folhas, mesmo com camada absorvente, refletora ou n∆o, mas n∆o trabalhado de outro modo.;;
7005.10.00;;- Vidro n∆o armado, com camada absorvente, refletora ou n∆o ;6,5;
7005.10.00;01;De vidro ¢ptico;0;
7005.2;;- Outro vidro n∆o armado:;;
7005.21.00;;-- Corado na massa, opacificado, folheado (chapeado) ou simplesmente desbastado ;6,5;
7005.21.00;01;De vidro ¢ptico;0;
7005.29.00;;-- Outro ;6,5;
7005.29.00;01;De vidro ¢ptico;0;
7005.30.00;;- Vidro armado ;6,5;
7006.00.00;;Vidro das posiá‰es 70.03, 70.04 ou 70.05, recurvado, biselado, gravado, brocado, esmaltado ou trabalhado de outro modo, mas n∆o emoldurado nem associado a outras matÇrias. ;6,5;
7006.00.00;01;De vidro ¢ptico;0;
70.07;;Vidros de seguranáa consistindo em vidros temperados ou formados por folhas contracoladas.;;
7007.1;;- Vidros temperados:;;
7007.11.00;;"-- De dimens‰es e formatos que permitam a sua aplicaá∆o em autom¢veis, ve°culos aÇreos, barcos ou
outros ve°culos ";9,75;
7007.11.00;01;"Para ìnibus ou caminh‰es, nas seguintes dimens‰es (admitida a tolerÉncia de atÇ 5%, para mais ou para menos): 1.693 x 575 x 6,75 mm; 1.305 x 489 x 6 mm; 728 x 489 x 6 mm; 640 x 220 x 4,8 mm; e 600 x 595 x 4,8 mm";1,95;
7007.19.00;;-- Outros ;6,5;
7007.2;;- Vidros formados por folhas contracoladas:;;
7007.21.00;;-- De dimens‰es e formatos que permitam a sua aplicaá∆o em autom¢veis, ve°culos aÇreos, barcos ou outros ve°culos ;9,75;
7007.21.00;01;"Para ìnibus ou caminh‰es, nas seguintes dimens‰es (admitida a tolerÉncia de atÇ 5%, para mais ou para menos): 2.075 x 787 x 6,76 mm; 1.950 x 800 x 6 mm; 1.800 x 800 x 6 mm; 1.693 x 575 x 6,75 mm; e 1.300 x 1.235 x 6 mm ";1,95;
7007.29.00;;-- Outros ;6,5;
7008.00.00;;Vidros isolantes de paredes m£ltiplas. ;6,5;
70.09;;Espelhos de vidro, mesmo emoldurados, incluindo os espelhos retrovisores.;;
7009.10.00;;- Espelhos retrovisores para ve°culos ;9,75;
7009.10.00;01;Para ìnibus ou caminh‰es;1,95;
7009.9;;- Outros:;;
7009.91.00;;-- N∆o emoldurados ;9,75;
7009.92.00;;-- Emoldurados ;9,75;
70.1;;"Garraf‰es, garrafas, frascos, boi‰es, vasos, embalagens tubulares, ampolas e outros recipientes de vidro pr¢prios para transporte ou embalagem; boi‰es de vidro para conservas; rolhas, tampas e outros dispositivos para fechar recipientes, de vidro.";;
7010.10.00;;- Ampolas ;0;
7010.20.00;;- Rolhas, tampas e outros dispositivos para fechar recipientes ;9,75;
7010.9;;- Outros;;
7010.90.1;;De capacidade superior a 1 l;;
7010.90.11;;Garraf‰es e garrafas ;9,75;
7010.90.12;;"Frascos, boi‰es, vasos, embalagens tubulares e outros recipientes pr¢prios para transporte ou embalagem; boi‰es para conservas ";9,75;
7010.90.2;;De capacidade superior a 0,33 l, mas n∆o superior a 1 l;;
7010.90.21;;Garraf‰es e garrafas ;9,75;
7010.90.22;;"Frascos, boi‰es, vasos, embalagens tubulares e outros recipientes pr¢prios para transporte ou embalagem; boi‰es para conservas ";9,75;
7010.90.90;;Outros ;9,75;
70.11;;Ampolas e inv¢lucros, mesmo tubulares, abertos, e suas partes, de vidro, sem guarniá‰es, para lÉmpadas e fontes de luz, elÇtricas, tubos cat¢dicos ou semelhantes.;;
7011.1;;- Para iluminaá∆o elÇtrica;;
7011.10.10;;Para lÉmpadas ou tubos de descarga, incluindo os de luz relÉmpago (flash) ;6,5;
7011.10.2;;Para lÉmpadas de incandescància;;
7011.10.21;;Bulbos de diÉmetro inferior ou igual a 90 mm ;6,5;
7011.10.29;;Outros ;6,5;
7011.10.90;;Outros ;6,5;
7011.20.00;;- Para tubos cat¢dicos ;6,5;
7011.90.00;;- Outros ;6,5;
